ID,coup_for,but_for,but_for_autre,plant_for,coup_mar,but_mar,but_mar_autre,plant_mar,coup_sec,but_sec,but_sec_autre,plant_sec,coup_jac2,but_jac2,but_jac2_autre,plant_jac2,coup_jac2a5,but_jac2a5,but_jac2a5_autre,plant_jac2a5,coup_jac5,but_jac5,but_jac5_autre,plant_jac5,coup_jac10,but_jac10,but_jac10_autre,plant_jac10
19,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Manioc, mais, patate douce et amarente",0,,null,null,0,,null,null
20,0,,null,null,0,,null,null,0,,null,null,1.5,a,null,"Manioc, tabac, piment fort, mais et tomate",0,,null,null,0,,null,null,0,,null,null
21,0,,null,null,0,,null,null,0.5,a,null,"Manioc,mais,haricot,banane",0.8,a,null,"Manioc,mais,haricot,banane,",0,,null,null,0,,null,null,0,,null,null
22,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc,mais,patate douce,haricot,banane,amarante"
23,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null
24,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc,mais,patate douce,arachide,aubergine,piment"
25,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc,mais , arachide, banane,patate douce,amarante",0.5,a,null,S6,0,,null,null,0,,null,null
26,0,,null,null,0,,null,null,0,,null,null,0,,null,null,5,a,null,"Manioc,mais,banane,riz,haricot,amarante",0,,null,null,0,,null,null
27,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,O,0,,null,null,0,,null,null,0,,null,null
28,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a bc bo,null,Manioc et mais,0,,null,null
29,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
30,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Manioc, mais, patate douce, piment fort, amarente",0,,null,null,0,,null,null
31,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et mais,0,,null,null,0,,null,null
32,0,,null,null,0,,null,null,0,,null,null,0,,null,null,2,a,null,"Manioc, mais, patate douce, arachide",0,,null,null,0,,null,null
33,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,3.5,a,null,Manioc et maïs,0,,null,null
34,1,a,null,"Maïs, patate douce et manioc",0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc,maïs et patate douce",0,,null,null
35,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc et maïs,0,,null,null
36,0,,null,null,0,,null,null,0,,null,null,2,a,null,Voir ci haut,0,,null,null,2,a,null,Voir plus haut,0,,null,null
37,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc et Patate douce,0,,null,null,0,,null,null,0,,null,null
38,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,Manioc et Maiis,0,,null,null,0,,null,null
39,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,3,a,null,"Manioc, Mais et Arricot",0,,null,null
40,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1.5,a,null,Manioc et Maiis,0,,null,null
41,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1.5,a,null,"Manioc , Patate douce et Arachide",0,,null,null
42,0,,null,null,0,,null,null,0,,null,null,null,,null,null,0.5,a,null,Manioc et patate douce,0,,null,null,0,,null,null
43,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a bc,null,"Manioc,maïs et arachide",0,,null,null,0,,null,null
44,0,,null,null,0,,null,null,0,,null,null,5,a,null,"Manioc, mais et patate douce",0,,null,null,0,,null,null,0,,null,null
45,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Manioc, mais et patate douce",0,,null,null,0,,null,null
46,1,a,null,Manioc et banane plantin,0,,null,null,0.5,a,null,Riz et manioc,0.09,a,null,"Ciboule, amarente, ananas, palmier a huile, orangier, avocatier,",0,,null,null,0,,null,null,0,,null,null
47,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et mais,0,,null,null,0,,null,null
48,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,"Manioc,maïs",0,,null,null,0,,null,null
49,0,,null,null,0,,null,null,0,,null,null,0,,null,null,2,a,null,"Manioc,maïs,arachide",0,,null,null,0,,null,null
50,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a,null,S7,0,,null,null,0,,null,null
51,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,5,a bc,null,Manioc,0,,null,null
52,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null
53,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1.5,a bc bo,null,"Mais,manioc,patate douce",0,,null,null,0,,null,null
54,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,1,a bc,null,"Mais ,manioc ,patate douce",0,,null,null
55,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.75,a bc c,null,Manioc s5,0,,null,null
56,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,1,a bc,null,Manioc,null,,null,null
57,0,,null,null,0,,null,null,0,,null,null,2,a,null,Mais et Manioc,0,,null,null,0,,null,null,0,,null,null
58,0,,null,null,0,,null,null,0,,null,null,2,a,null,Voir ci haut,0,,null,null,0,,null,null,0,,null,null
59,0,,null,null,0,,null,null,0,,null,null,2,a,null,Manioc et Mais et Piment fort,1,a,null,"Mais, Manioc et Piment",0,,null,null,0,,null,null
60,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
61,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
62,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,Manioc et patate douce,0,,null,null,0,,null,null
63,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null,null,,null,null
64,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null,0,,null,null
65,0,,null,null,0,,null,null,0,,null,null,0.5,a,null,"Manioc,patate douce",0,,null,null,0,,null,null,0,,null,null
66,0,,null,null,0,,null,null,0,,null,null,0,,null,null,2,a bc,null,Maïs et maïs,0,,null,null,0,,null,null
67,0,,null,null,0,,null,null,0,,null,null,0,,null,null,2,a,null,Riz et arachide,0,,null,null,0,,null,null
