"","ID","genre","rel","etat.civil","ethnie","clan","age","edu","an_edu","occ1","occ2","naissance","nb.enfant","demo.buya","demo.deces","demo.deces_age"
"79",80,"m","c","m","p","is",32,"s",8,"mo","mo","autre",2,"2012","non","null"
"80",81,"m","c","m","p","is",25,"p",6,"mo","mo","autre",1,"2012","non","null"
"81",82,"m","c","m","p","is",21,"p",3,"mo","mo","autre",1,"21","non","null"
"82",83,"m","c","m","b","autre",39,"s",12,"a","a","autre",5,"1990","oui","6"
"83",84,"m","c","m","b","autre",44,"s",7,"a","p","buya",14,"null","non","null"
"84",85,"f","c","d","b","is",34,"s",8,"a","v","autre",2,"2010","non","null"
"85",86,"m","c","ce","b","d",49,"s",7,"a","autre","autre",2,"1997","non","null"
"86",87,"m","c","m","b","d",34,"s",7,"a","autre","autre",7,"1996","oui","39"
"87",88,"f","c","v","b","is",63,"p",1,"a","v","autre",4,"2000","oui","72"
"88",89,"f","c","m","b","autre",53,"p",2,"a","v","autre",3,"1990","non","null"
"89",90,"m","c","m","b","autre",46,"s",14,"a","a","autre",9,"1985","non","null"
"90",91,"m","c","m","b","autre",35,"s",12,"a","v","buya",2,"null","non","null"
"91",92,"m","c","m","p","is",28,"a",0,"ef","p","autre",6,"2008","non","null"
"92",93,"m","c","m","b","is",32,"s",11,"e","a","buya",3,"null","non","null"
"93",94,"m","c","m","b","is",74,"s",11,"autre","a","autre",3,"1989","non","null"
"94",95,"m","c","m","b","d",36,"s",9,"a","autre","autre",3,"1996","non","null"
"95",96,"m","c","m","b","d",27,"s",8,"a","autre","autre",1,"2008","oui","60"
"96",97,"m","c","m","b","d",48,"s",12,"ef","autre","autre",3,"null","oui","8"
"97",98,"m","c","m","b","ek",32,"p",4,"autre","a","buya",4,"null","non","null"
"98",99,"m","c","ce","b","ek",21,"p",6,"p","a","buya",0,"null","oui","83"
"99",100,"m","c","m","p","is",55,"a",0,"ef","p","autre",1,"2007","non","null"
"100",101,"m","c","m","b","autre",57,"s",11,"a","autre","autre",4,"1991","non","null"
"101",102,"m","c","m","b","autre",62,"s",8,"a","autre","autre",5,"1974","non","null"
"102",103,"m","c","m","b","autre",42,"s",11,"a","p","autre",3,"2004","non","null"
"103",104,"m","c","m","b","is",44,"s",11,"a","a","autre",6,"2001","non","null"
"104",105,"m","c","m","b","is",52,"p",6,"a","a","buya",8,"1999","oui","70"
"105",106,"f","c","v","b","is",80,"a",0,"a","m","buya",5,"null","oui","56"
"106",107,"f","c","m","b","autre",69,"p",3,"a","v","autre",3,"1984","non","null"
"107",108,"f","c","m","b","autre",47,"p",3,"a","v","autre",10,"1983","oui","8"
"108",109,"m","c","m","b","is",26,"s",10,"e","a","autre",2,"1987","non","null"
"109",110,"m","c","m","b","d",51,"s",11,"a","v","autre",10,"1986","oui","45"
"110",111,"m","c","m","b","ek",31,"s",9,"p","autre","autre",2,"null","non","null"
"111",112,"f","c","d","b","ek",49,"a",0,"a","p","autre",4,"1980","oui","2"
"112",113,"m","c","m","b","is",39,"p",2,"a","a","buya",11,"null","non","null"
"113",114,"f","c","d","b","is",50,"s",8,"a","m","autre",4,"199","non","null"
"114",115,"m","c","ce","b","d",53,"s",12,"a","a","buya",0,"null","oui","46"
"115",116,"m","c","m","b","is",49,"s",10,"a","ef","buya",12,"null","non","null"
"116",117,"f","c","m","b","ek",38,"s",10,"a","m","autre",4,"1980","non","null"
"117",118,"f","c","m","b","ek",30,"p",3,"a","m","buya",6,"null","non","null"
"118",119,"f","c","v","b","is",69,"p",3,"a","m","buya",11,"null","oui","6"
"119",120,"m","c","m","b","ek",50,"p",6,"a","a","buya",4,"2006","non","null"
"120",121,"m","c","m","b","autre",29,"s",12,"autre","autre","autre",0,"null","non","null"
"121",122,"f","c","m","b","autre",52,"p",3,"a","v","autre",5,"1980","non","null"
"122",123,"m","c","m","b","ek",30,"p",3,"a","p","buya",2,"null","oui","15"
"123",124,"m","c","m","b","autre",37,"p",6,"a","null","autre",2,"2002","non","null"
"124",125,"f","c","d","b","ek",32,"a",0,"a","m","buya",2,"null","oui","2"
"125",126,"m","c","m","b","ek",39,"s",9,"a","p","autre",5,"2000","non","null"
"126",127,"m","c","m","b","autre",34,"s",9,"a","v","autre",0,"2011","non","null"
"127",128,"m","c","m","b","ek",23,"p",6,"a","p","autre",3,"1998","oui","1"
