ID,material:end_chauf,material:autre_end_chauf,material:dist_chauf,material:droit_chauf,material:usage_chauf,material:oui_oeuvre,material:end_oeuvre,material:autre_end_oeuvre,material:dist_oeuvre,material:droit_oeuvre,material:usage_oeuvre,material:oui_charbon,material:end_charbon,material:autre_end_charbon,material:dist_charbon,material:droit_charbon,material:usage_charbon,material:oui_medicinal,material:end_medicinal,material:autre_end_medicinal,material:dist_medicinal,material:droit_medicinal,material:usage_medicinal,material:oui_viande,material:end_viande,material:autre_end_viande,material:dist_viande,material:droit_viande,material:usage_viande,material:oui_poisson,material:end_poisson,material:autre_end_poisson,material:dist_poisson,material:droit_poisson,material:usage_poisson,material:dist_eau,material:droit_eau,material:oui_Fumbwa,material:end_Fumbwa,material:autre_end_Fumbwa,material:dist_Fumbwa,material:droit_Fumbwa,material:usage_Fumbwa,material:oui_feuille,material:end_feuille,material:autre_end_feuille,material:dist_feuille,material:droit_feuille,material:usage_feuille,material:oui_emballage,material:end_emballage,material:autre_end_emballage,material:dist_emballage,material:droit_emballage,material:usage_emballage,material:oui_kola,material:end_kola,material:autre_end_kola,material:dist_kola,material:droit_kola,material:usage_kola,material:oui_chenille,material:end_chenille,material:autre_end_chenille,material:dist_chenille,material:droit_chenille,material:usage_chenille,material:oui_miel,material:end_miel,material:autre_end_miel,material:dist_miel,material:droit_miel,material:usage_miel,pfnl
1,j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f,non,,null,null,,,oui,Marécage,null,plus2,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f,oui,j,null,plus2,a,f,non,,null,null,,,oui,j,null,plus1,a,f v,non,,null,null,,,Non
2,j,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f,non,,null,null,,,oui,j,null,min30a60,a,f,non,,null,null,,,Non
3,c fp,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,c fp fs fm,null,min30a60,c pa,f,non,,null,null,,,oui,Foret marécageuse avec cours d'eau,null,plus1,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f v,non,,null,null,,,non,,null,null,,,oui,c fp j fm,null,plus2,a,f v d,non,,null,null,,,"Oui , liane, feuilles sauvages comestible"
4,c,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,c fm,null,plus1,a,f,non,,null,null,,,oui,Marecage,null,plus2,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f,oui,fp j,null,plus6,pa,f v,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
5,c fp fs j fm,null,plus2,a,f d,non,,null,null,,,non,,null,null,,,oui,fp j fm,null,plus2,a,f v d,non,,null,null,,,non,null,null,null,,,plus1,a,non,,null,null,,,non,,null,null,,,oui,c j fm,null,plus1,a,f d,oui,fs j,null,plus2,a,f d,non,,null,null,,,non,,null,null,,,Non
6,c fp fs j fm,null,minutes30,a,f v,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,minutes30,a,f v d,non,,null,null,,,oui,Marécages,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f,oui,fp fs j fm,null,plus2,a,f d,oui,fp fm,null,plus1,a,f v d,oui,c fp fs j fm,null,min30a60,a,f,oui,fp fm,null,plus1,a,f v,"Oui, champignons,ignames, aframomum alboviolaceum"
7,c fp fs j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a,f,non,,null,null,,,oui,Marécage,null,min30a60,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f d,oui,fp j,null,plus2,a,f d,oui,fp fs fm,null,min30a60,a,f v d,oui,c fp fs j fm,null,minutes30,a,f v d,oui,fp fm,null,min30a60,a,f v d,"Oui: Igname, Champignons, Landolphia lanceolata"
8,c fp fs j fm,null,plus1,a pa,f v d,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a,f v d,non,,null,null,,,non,null,null,null,,,null,,oui,fp fs j fm,null,minutes30,a,a f d,non,,null,null,,,oui,j,null,plus2,a,f v d,oui,j,null,plus1,a,f v d,oui,c fp fs j fm,null,plus2,a,f v d,non,,null,null,,,Rien
9,tout,null,minutes30,a,f,oui,tout,null,plus2,a,f,non,,null,null,,,oui,tout,null,plus2,a,,non,,null,null,,,oui,Ruisseaux et foret mateccageuse,null,plus2,a,f v,minutes30,a,non,,null,null,,,oui,fp fm,null,plus1,a,f,oui,fp fs j,null,plus2,pa,f v,non,,null,null,,,oui,tout,null,min30a60,a,f v,non,,null,null,,,"Gambeya lacourtiana , Aframomum alboviolaceum"
10,c fp fs j fm tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,fs,null,plus2,a,d,non,,null,null,,,oui,Ruisseaux,null,minutes30,a,a f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus2,,f v,oui,c,null,minutes30,pa,v,non,,null,null,,,non,,null,null,,,Non
11,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,minutes30,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f v,oui,j,null,plus1,a,f v,oui,j,null,min30a60,a,f v,oui,tout,null,min30a60,a,f v,oui,tout,null,minutes30,a,f v,"Liane,champignons"
12,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,oui,Marécage,null,min30a60,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f v,oui,j,null,min30a60,a,f,oui,fp,null,plus1,a,f v,oui,fp,null,plus1,a,f v,oui,tout,null,plus1,a,f v,Lianes et champignons
13,fp fs j fm tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
14,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,minutes30,a,f d,minutes30,pp,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,non,,null,null,,,"Champignon,liane"
15,j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,fp fs j,null,min30a60,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,fp,null,min30a60,a,f,non,,null,null,,,oui,j,null,min30a60,a,f,non,,null,null,,,Non
16,j,null,plus2,a,f,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f v,non,,null,null,,,oui,Marecage,null,plus6,a,f,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus6,a c,f,non,,null,null,,,oui,j,null,plus6,a c,f,non,,null,null,,,Non
17,tout,null,min30a60,a c,f,non,,null,null,,,non,,null,null,,,oui,fp,null,min30a60,a,f,non,,null,null,,,non,null,null,null,,,minutes30,pa,non,,null,null,,,non,,null,null,,,oui,j,null,plus4,pp,v,non,,null,null,,,oui,tout,null,min30a60,a,f v,non,,null,null,,,Non
18,tout,null,min30a60,a,f v,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,non,,null,null,,,oui,Ruisseau,null,minutes30,a,f,minutes30,pa,non,,null,null,,,non,,null,null,,,oui,j,null,plus4,pa,f v,oui,c,null,plus4,a,a v,oui,tout,null,plus4,a,f,non,,null,null,,,"Bionzo, Mpunga, Mafambu, Mondenge,"
19,c,null,min30a60,a pa,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,minutes30,a,f v,minutes30,pa,non,,null,null,,,oui,fm,null,plus4,a,f,oui,j,null,plus4,pa,f v,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,Champignon
20,c j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,j fm,null,minutes30,a,f,non,,null,null,,,oui,Marecage,null,minutes30,a,f v d,minutes30,a pa,non,,null,null,,,oui,fm,null,min30a60,a pa,f,oui,j,null,plus4,pa,f,non,,null,null,,,oui,tout,null,minutes30,a,f v,non,,null,null,,,"Corde de liane sauvage,fruits sauvage,champignon"
21,c fp fs j fm,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,fp fs j fm,null,minutes30,a,f v d,oui,fp fm,null,plus1,a,f v d,oui,Marécage,null,plus1,a,f v d,minutes30,a pa,non,,null,null,,,oui,fm,null,plus2,a,f v d,oui,fs j,null,plus2,a pa,f v d,oui,fp fs j fm,null,plus1,a pa,f v d,oui,fp fs j fm,null,min30a60,a pa,f v d,non,,null,null,,,"Oui, champignons,bambous,lianes,igname"
22,fs j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,plus2,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f d,oui,fp fs j,null,plus2,a,f d,non,,null,null,,,oui,fp fs j fm,null,plus6,a,f v d,non,,null,null,,,"Champignons, tortue"
23,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,null,null,null,,,null,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null
24,c fp fs j fm,null,minutes30,a,f v,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,min30a60,a pa,f v,minutes30,a pa,non,,null,null,,,oui,fm,null,min30a60,a,f d,oui,fp fs j,null,plus1,a,f v d,oui,fp,null,min30a60,a,f v d,oui,fp fs j,null,min30a60,a pa,f v,non,,null,null,,,"Liane,noix de palme,champignons"
25,c fp fs j fm,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,minutes30,a,f,non,,null,null,,,oui,Marécage,null,plus2,a,f v d,min30a60,a,non,,null,null,,,non,,null,null,,,oui,fp fs j,null,plus1,a,f d,oui,fp fs,null,min30a60,a,f d,oui,c fp fs j fm,null,plus1,a,f d,non,,null,null,,,"Champignons, liane"
26,c fp fs j,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a,f d,non,,null,null,,,oui,Marécage,null,min30a60,a,f v d,min30a60,a,non,,null,null,,,non,,null,null,,,oui,fp fs j,null,plus2,a pa,f d,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a,f v d,non,,null,null,,,"Perche,champignons,lianes"
27,j,null,minutes30,a pa,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,minutes30,a,f v,oui,j,null,minutes30,a c,f v,non,,null,null,,,oui,j,null,minutes30,a c,f v,non,,null,null,,,Chanpignon
28,c j,null,min30a60,a,f d,oui,j,null,min30a60,a,f v d,non,,null,null,,,oui,j,null,min30a60,a,f d,oui,tout,null,min30a60,a,f v d,oui,Marecage,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f v d,oui,j,null,min30a60,a,f v d,oui,tout,null,minutes30,a,f v d,oui,tout,null,minutes30,a,f v d,oui,tout,null,minutes30,a,f v d,Chanpignon et liane
29,tout,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,marécage/ecopage,null,plus6,a,f d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f v d,non,,null,null,,,oui,tout,null,plus2,a,f v d,non,,null,null,,,Non
30,c,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f d,non,,null,null,,,oui,Marecage,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,c,null,minutes30,a,f v d,non,,null,null,,,"Mondongo, mbole, punga, champignon, mbimbo, biteko"
31,c,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,oui,tout,null,minutes30,a,f v d,oui,Foret marécageuse,null,minutes30,a,f,minutes30,a,oui,tout,null,min30a60,a,v,oui,fm,null,plus2,a,f v,oui,c j,null,min30a60,a,f v,non,,null,null,,,oui,tout,null,minutes30,a,f v d,non,,null,null,,,"Champignon, liane, igname sauvage, légume sauvage"
32,c,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f d,non,,null,null,,,non,null,null,null,,,minutes30,pa,non,,null,null,,,non,,null,null,,,oui,fs j,null,min30a60,a,f d,non,,null,null,,,oui,tout,null,min30a60,a,f v d,non,,null,null,,,"Champignon, igname sauvage, légumes sauvage."
33,j,null,minutes30,a,f,non,,null,null,,,oui,j,null,minutes30,a,v,oui,c fp fs j fm tout,null,minutes30,a,f,oui,tout,null,min30a60,a,f v,oui,Marécages,null,min30a60,a,f v,minutes30,a,oui,tout,null,min30a60,a,v,oui,fp fm,null,plus1,a,f,oui,tout,null,min30a60,a,f v,oui,j,null,min30a60,a,f v,oui,tout,null,min30a60,a,f v,oui,c fp fs j fm tout,null,min30a60,a,f v,"Lianes,champignons"
34,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,min30a60,a,f v,minutes30,a,non,,null,null,,,oui,fp j,null,plus1,a,f,oui,j,null,plus2,c,f v,oui,fp,null,minutes30,a,f v d,oui,tout,null,plus1,a,f v,non,,null,null,,,Liane et champignons
35,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,minutes30,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f,oui,j,null,minutes30,a,f,non,,null,null,,,oui,tout,null,min30a60,a,f v,non,,null,null,,,Lianes et champignons
36,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,oui,Ruisseau Intoku et Ibubia,null,minutes30,a,f,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,Non
37,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,oui,fp,null,plus1,a,f,non,,null,null,,,oui,Ruisseau  Ngololo,null,plus2,a,f,minutes30,pa,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f v,oui,fp,null,plus4,a,v,oui,tout,null,min30a60,a,f,non,,null,null,,,Non
38,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,non,null,null,null,,,minutes30,pa,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,pa,f v,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,Rien
39,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,oui,Partout,null,plus2,a,f,minutes30,pa,non,,null,null,,,oui,tout,null,plus2,a,f v,oui,tout,null,plus4,pa,f v,oui,tout,null,plus2,a,f v,oui,tout,null,plus2,a,f v,non,,null,null,,,Gambeyalacourtiana
40,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,oui,Foret Mareccageuse,null,plus2,a,f,minutes30,a c pp,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a pa,f v,non,,null,null,,,oui,tout,null,plus2,a pa,f v,non,,null,null,,,Non
41,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Non
42,j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,oui,fp fm,null,min30a60,a,f,non,,null,null,,,oui,fp j,null,min30a60,c,f,non,,null,null,,,oui,fp,null,min30a60,a,f,non,,null,null,,,Champignons
43,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,fp,null,plus2,a,f,non,,null,null,,,oui,tout,null,minutes30,a c,f,non,,null,null,,,Champignons
44,j,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,fp,null,plus2,c,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
45,c,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a,oui,j fm,null,min30a60,a,v,non,,null,null,,,oui,j,null,min30a60,a,f v d,oui,fs j,null,min30a60,a,f v d,oui,tout,null,plus1,a pa,f v d,non,,null,null,,,"Chapignon, légumes sauvages."
46,c,null,minutes30,a,f,oui,fm,null,min30a60,c,f v,non,,null,null,,,oui,tout,null,minutes30,a,f,non,,null,null,,,oui,Marecage,null,minutes30,a c,f v d,minutes30,a c,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f d,non,,null,null,,,O
47,c,null,plus2,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,oui,Marécage,null,plus2,a,f v d,minutes30,a,oui,tout,null,min30a60,a,v d,non,,null,null,,,oui,j,null,min30a60,a,f v d,oui,tout,null,min30a60,a,f v d,oui,tout,null,plus1,a pa,f v d,oui,tout,null,plus1,a,a f v d,"Champignons,légumes sauvages"
48,c fp fs j fm,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,fp fs j fm,null,min30a60,a,f d,non,,null,null,,,oui,Marécage,null,plus2,a,f v d,min30a60,a,non,,null,null,,,non,,null,null,,,oui,fp fs j,null,plus2,a,f d,non,,null,null,,,oui,fp fs j fm,null,plus2,a,f d,non,,null,null,,,"Champignons, igname"
49,fp fs j fm,null,min30a60,a pa,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,null,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignons
50,c fp fs j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a,f d,non,,null,null,,,"Serpent, champignon"
51,c,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,min30a60,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f d,non,,null,null,,,oui,j,null,plus2,a c,f d,non,,null,null,,,Non
52,j,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,j,null,plus2,a,f,oui,j,null,plus2,a,f,oui,Marecage,null,plus4,a,f,null,,non,,null,null,,,oui,fm,null,plus1,a,f,non,,null,null,,,oui,fs,null,plus2,a,f v d,non,,null,null,,,non,,null,null,,,"Lianes ,champignons."
53,tout,null,min30a60,a c,f d,oui,fm,null,min30a60,a,f v d,non,,null,null,,,oui,tout,null,plus1,a,f d,non,,null,null,,,oui,Marecage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f v d,oui,j,null,min30a60,a c,f v d,non,,null,null,,,oui,j,null,min30a60,a c,f v d,non,,null,null,,,Chanpigon
54,j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Chanpignon
55,tout,null,minutes30,a,f d,non,,null,null,,,oui,c fp j,null,min30a60,a,f v d,oui,fp j fm,null,minutes30,a,f d,non,,null,null,,,oui,Marecage,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Garcinia kola(ngadiadia)
56,j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,plus1,a c,f d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignon
57,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,oui,Partout,null,plus2,a,f,minutes30,a,non,,null,null,,,oui,tout,null,plus2,a,f,oui,tout,null,plus2,a,f,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Non
58,j,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a pa,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,"Ndonge, Matofe, Mafumba"
59,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,oui,Dans les ruissaux,null,plus2,a,f,minutes30,a,non,,null,null,,,oui,tout,null,plus2,a,f,oui,tout,null,plus4,a,f v,oui,tout,null,plus2,a,f v,oui,tout,null,plus1,a,f v,non,,null,null,,,Non
60,aucun,null,minutes30,a,f,oui,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f v d,oui,Bokoyo marécage,null,minutes30,a,f v d,minutes30,a,oui,j,null,min30a60,a,f,oui,fm,null,minutes30,a,f v,oui,j,null,min30a60,a,f,non,,null,null,,,oui,fp j,null,min30a60,a,f v,non,,null,null,,,Liane et  Champignons
61,c fp j,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,fs j,null,min30a60,a,f v,non,,null,null,,,oui,fp,null,min30a60,a,f v,non,,null,null,,,Champignons
62,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage et ruisseaux,null,minutes30,a,f,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,non,,null,null,,,Liane et champignons
63,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,null,null,null,,,null,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null,,null,null,,,null
64,fp fs j fm,null,min30a60,a pa,f d,oui,fp fs fm,null,plus2,pa,a f v,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a pa,f v,oui,fp fs j fm,null,plus4,a pa,f v d,oui,Marécage,null,plus1,a pa,f v d,plus1,a pa,oui,fp fs j fm,null,plus2,a pa,a v,oui,fm,null,plus2,a pa,f v d,oui,fp fs j,null,plus2,a pa,f v d,oui,fp fs fm,null,min30a60,a pa,f v d,oui,fp fs j fm,null,plus2,a pa,f v,oui,fp fs j fm,null,plus4,a pa,f v d,"Igname, Landolphia sp, champignons, lianes"
65,c fp fs j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a,f v d,non,,null,null,,,non,null,null,null,,,min30a60,a pa,non,,null,null,,,non,,null,null,,,oui,fp fs j,null,plus1,a pa,f d,non,,null,null,,,oui,c fp fs j fm,null,plus2,a pa,f v d,non,,null,null,,,"Champignons, ignames"
66,tout,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a pa,f,non,,null,null,,,oui,Marécage,null,min30a60,a,f v d,min30a60,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a pa,f v d,non,,null,null,,,Ras
67,c,null,minutes30,a pa,a f,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,oui,tout,null,minutes30,a,f v d,oui,Marecage,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,minutes30,a pa,a f v,oui,j,null,minutes30,a,f v,oui,j,null,minutes30,a,f v d,oui,tout,null,minutes30,a pa,f v d,oui,fm,null,minutes30,a,f v d,"Champignons, légumes sauvages , les fruits sauvages"
68,c j,null,minutes30,a pa,f,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f,oui,fm,null,minutes30,a,f v,oui,Marecage,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,minutes30,a,f v,non,,null,null,,,oui,tout,null,minutes30,a,f v d,oui,tout,null,minutes30,a pa,f v d,oui,fm,null,minutes30,a,f v d,"Champignons, fruits sauvages"
69,c,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,oui,Marecage,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,minutes30,a,f v d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a pa,f d,oui,tout,null,minutes30,a,f v d,"Légume sauvage, champignon"
70,tout,null,minutes30,a,a f,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,a f,oui,tout,null,minutes30,a,f v,oui,Marecage,null,minutes30,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,a f,oui,tout,null,min30a60,a,a f v,oui,tout,null,min30a60,a,f v,oui,tout,null,min30a60,a,a f v,oui,tout,null,min30a60,a,f,"Liane,champignons"
71,tout,null,minutes30,a,f,oui,fp j fm,null,minutes30,a,f v,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f v,oui,Marécage,null,minutes30,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignons
72,c,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f v,non,,null,null,,,non,null,null,null,,,minutes30,a pa,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Légumes sauvages, ignames sauvages et champignons"
73,c,null,plus1,a pp,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a pp,f,non,,null,null,,,non,null,null,null,,,minutes30,a pp,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Champignons, légumes sauvages, fruits sauvages"
74,tout,null,plus2,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f,non,,null,null,,,non,null,null,null,,,minutes30,pa,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Non
75,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a pa,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Non
